"Siivota / Siivoa<br>Siivoa huoneesi viikonloppuna.","Убирать<br/>Убери свою комнату на выходных."
"Imuroida / Imuroi<br>Imuroi olohuone tänään.","Пылесосить<br/>Пылесось гостиную сегодня."
"Uida / Ui<br>Ui järveen aamulla.","Плавать<br/>Поплавай в озере утром."
"Kävellä / Kävele<br>Kävele enemmän luonnossa.","Гулять<br/>Гуляй больше на природе."
"Pyöräillä / Pyöräile<br>Pyöräile työhön, jos mahdollista.","Ездить<br/> велосипеде / Езди на работу на велосипеде, если возможно."
"Ajaa / Aja<br>Aja varovasti pimeässä.","Водить<br/>Води осторожно в темноте."
"Juosta / Juokse<br>Juokse joka aamu.","Бегать<br/>Бегай каждое утро."
"Pelata / Pelaa<br>Pelaa jalkapalloa viikonloppuisin.","Играть<br/>Играй в футбол по выходным."
"Leikkiä / Leiki<br>Leiki ulkona lasten kanssa.","Играть<br/>Играй с детьми на улице."
"Soittaa / Soita<br>Soita minulle, kun saavut.","Звонить<br/>Позвони мне, когда приедешь."
"Ottaa / Ota<br>Ota sateenvarjo mukaan.","Брать<br/>Возьми зонт с собой."
"Antaa / Anna<br>Anna minulle hetki aikaa.","Давать<br/>Дай мне минутку."
"Lainata / Lainaa<br>Lainaa kirjaa kirjastosta.","Одалживать<br/>Одолжи книгу из библиотеки."
"Tavata / Tapaa<br>Meidän pitäisi tavata useammin.","Встречать<br/>Нам следует встречаться чаще."
"Tutustua / Tutustu<br>Tutustu uusiin ihmisiin.","Знакомиться<br/>Знакомься с новыми людьми."
"Tehdä / Tee<br>Tee parhaasi kokeessa.","Делать<br/>Сделай все возможное на экзамене."
"Nähdä / Näe<br>Näe maailmaa.","Видеть<br/>Увидь мир."
"Katsoa / Katso<br>Katso elokuva iltaisin.","Смотреть<br/>Смотри фильм вечерами."
"Tulla / Tule<br>Tule ajoissa.","Приходить<br/>Приходи вовремя."
"Mennä / Mene<br>Mene nukkumaan.","Идти<br/>Иди спать."
"Lähteä / Lähde<br>Lähde nyt, tai myöhästyt.","Уходить<br/>Уходи сейчас, иначе опоздаешь."
"Jäädä / Jää<br>Jää tänne yöksi.","Оставаться<br/>Останься здесь на ночь."
"Saapua / Saavu<br>Saavu kokoukseen ajoissa.","Прибывать<br/>Прибудь на собрание вовремя."
"Käydä / Käy<br>Käy tervehtimässä isoäitiä.","Посещать<br/>Зайди поприветствовать бабушку."
"Tuoda / Tuo<br>Tuo minulle vettä.","Приносить<br/>Принеси мне воды."
"Viedä / Vie<br>Vie roskat ulos.","Выносить<br/>Вынеси мусор."
"Rakastaa / Rakasta<br>Rakasta elämää.","Любить<br/>Люби жизнь."
"Vihata / Vihaa<br>Vihaa epäoikeudenmukaisuutta.","Ненавидеть<br/>Ненавидь несправедливость."
"Tykätä / Tykkää<br>Tykkää seurata urheilua.","Нравиться<br/>Нравится следить за спортом."
"Pelätä / Pelkää<br>Pelkää menettämistä.","Бояться<br/>Бойся потери."
"Pukea / Pue<br>Pue lämpimästi.","Одевать<br/>Оденься тепло."
"Riisua / Riisu<br>Riisu kengät sisällä.","Раздевать<br/>Сними обувь внутри."
"Maksaa / Maksa<br>Maksa laskut ajallaan.","Платить<br/>Плати счета вовремя."
"Ostaa / Osta<br>Osta tuoretta leipää.","Покупать<br/>Купи свежий хлеб."
"Myydä / Myy<br>Myy vanha auto.","Продавать<br/>Продай старую машину."
"Kirjoittaa / Kirjoita<br>Kirjoita kirje ystävällesi.","Писать<br/>Напиши письмо другу."
"Lukea / Lue<br>Lue kirja loppuun.","Читать<br/>Прочитай книгу до конца."
"Kuunnella / Kuuntele<br>Kuuntele, kun puhun sinulle.","Слушать<br/>Слушай, когда я говорю тебе."
"Kuulla / Kuule<br>Kuule, mitä sanon.","Слышать<br/>Слушай, что я говорю."
"Piirtää / Piirrä<br>Piirrä kuva minulle.","Рисовать<br/>Нарисуй мне картинку."
"Maalata / Maalaa<br>Maalaa talo kesällä.","Красить<br/>Покрась дом летом."
"Nauraa / Naura<br>Naura sydämesi kyllyydestä.","Смеяться<br/>Смейся от всего сердца."
"Itkeä / Itke<br>Itke, jos siltä tuntuu.","Плакать<br/>Плачь, если хочется."
"Hymyillä / Hymyile<br>Hymyile, kun otamme valokuvan.","Улыбаться<br/>Улыбнись, когда мы делаем фото."
"Matkustaa / Matkusta<br>Matkusta maailman ympäri.","Путешествовать<br/>Путешествуй по миру."
"Muuttaa / Muuta<br>Muuta uuteen kaupunkiin.","Переезжать<br/>Переезжай в новый город."
"Työntää / Työnnä<br>Työnnä ovi auki.","Толкать<br/>Толкни дверь, чтобы открыть."
"Vetää / Vedä<br>Vedä ovi kiinni.","Тянуть<br/>Затяни дверь."
"Nostaa / Nosta<br>Nosta painoja kuntosalilla.","Поднимать<br/>Поднимай вес в спортзале."
"Laskea / Laske<br>Laske vene vesille.","Спускать<br/>Спусти лодку на воду."
"Laittaa / Laita<br>Laita ruokaa illalliseksi.","Готовить<br/>Приготовь ужин."
"Heittää / Heitä<br>Heitä pallo koiraasi varten.","Бросать<br/>Брось мяч для своей собаки."
"Häiritä / Häiritse<br>Älä häiritse minua työskennellessäni.","Мешать<br/>Не мешай мне, когда я работаю."
"Valita / Valitse<br>Valitse suosikkivärisi.","Выбирать<br/>Выбери свой любимый цвет."
"Tarvita / Tarvitse<br>Tarvitsetko apua?","Нуждаться<br/>Тебе нужна помощь?"
"Hoitaa / Hoida<br>Hoida terveyttäsi.","Заботиться<br/>Заботься о своем здоровье."
"Auttaa / Auta<br>Auta ystävää hädässä.","Помогать<br/>Помоги другу в беде."
"Varata / Varaa<br>Varaa hotellihuone lomalle.","Бронировать<br/>Забронируй номер в отеле для отпуска."
"Tilata / Tilaa<br>Tilaa pizzaa kotiin.","Заказывать<br/>Закажи пиццу домой."
"Asua / Asu<br>Asu siellä, missä viihdyt.","Жить<br/>Живи там, где тебе нравится."
"Syntyä / Synny<br>Synny uuteen aikaan.","Родиться<br/>Родись в новую эпоху."
"Elää / Elä<br>Elä täysillä.","Жить<br/>Живи на полную."
"Kuolla / Kuole<br>Kuole sankarina.","Умереть<br/>Умри как герой."
"Etsiä / Etsi<br>Etsi kadonnutta avainta.","Искать<br/>Ищи потерянный ключ."
"Löytää / Löydä<br>Löydä tie onneen.","Найти<br/>Найди путь к счастью."
"Avata / Avaa<br>Avaa uusia ovia.","Открывать<br/>Открой новые двери."
"Sulkea / Sulje<br>Sulje silmäsi ja hengitä.","Закрывать<br/>Закрой глаза и дыши."
"Korjata / Korjaa<br>Korjaa rikkinäinen pyörä.","Ремонтировать<br/>Почини сломанный велосипед."
"Riittää / Riitä<br>Riitä itsellesi.","Хватать<br/>Будь достаточным для себя."
"Laulaa / Laula<br>Laula lempilauluasi.","Петь<br/>Спой свою любимую песню."
"Tapahtua / Tapahtukoon<br>Tapahtukoon tahtosi.","Происходить<br/>Да свершится твоя воля."
"Alkaa / Alkakoon<br>Alkakoon seikkailu.","Начинаться<br/>Пусть начнется приключение."
"Aloittaa / Aloita<br>Aloita uusi harrastus.","Начать<br/>Начни новое хобби."
"Loppua / Lopu<br>Lopu hyvin, kaikki hyvin.","Заканчиваться<br/>Конец хорошо, всё хорошо."
